,geoid_long,stab,state,tract,block_group,labor_force,unemployed,unemployment_rate,county,geoid
149,15000US110010027032,DC,11,002703,2,1112,17,1.53,001,110010027032
150,15000US110010027041,DC,11,002704,1,1001,52,5.19,001,110010027041
151,15000US110010027042,DC,11,002704,2,2070,27,1.3,001,110010027042
152,15000US110010028011,DC,11,002801,1,1427,11,0.77,001,110010028011
153,15000US110010028012,DC,11,002801,2,1373,42,3.06,001,110010028012
154,15000US110010028021,DC,11,002802,1,1141,96,8.41,001,110010028021
155,15000US110010028022,DC,11,002802,2,988,108,10.93,001,110010028022
156,15000US110010028023,DC,11,002802,3,1527,70,4.58,001,110010028023
157,15000US110010029001,DC,11,002900,1,1599,16,1.0,001,110010029001
158,15000US110010029002,DC,11,002900,2,1779,41,2.3,001,110010029002
159,15000US110010030001,DC,11,003000,1,1200,11,0.92,001,110010030001
160,15000US110010030002,DC,11,003000,2,1407,257,18.27,001,110010030002
161,15000US110010031001,DC,11,003100,1,897,37,4.12,001,110010031001
162,15000US110010031002,DC,11,003100,2,1860,111,5.97,001,110010031002
163,15000US110010032001,DC,11,003200,1,1055,158,14.98,001,110010032001
164,15000US110010032002,DC,11,003200,2,533,112,21.01,001,110010032002
165,15000US110010032003,DC,11,003200,3,744,91,12.23,001,110010032003
166,15000US110010032004,DC,11,003200,4,1049,55,5.24,001,110010032004
167,15000US110010033011,DC,11,003301,1,972,17,1.75,001,110010033011
168,15000US110010033012,DC,11,003301,2,994,7,0.7,001,110010033012
169,15000US110010033013,DC,11,003301,3,1275,9,0.71,001,110010033013
170,15000US110010033021,DC,11,003302,1,798,32,4.01,001,110010033021
171,15000US110010033022,DC,11,003302,2,679,17,2.5,001,110010033022
172,15000US110010034001,DC,11,003400,1,580,83,14.31,001,110010034001
173,15000US110010034002,DC,11,003400,2,0,0,,001,110010034002
174,15000US110010034003,DC,11,003400,3,1364,23,1.69,001,110010034003
175,15000US110010034004,DC,11,003400,4,191,0,0.0,001,110010034004
176,15000US110010034005,DC,11,003400,5,498,17,3.41,001,110010034005
177,15000US110010035001,DC,11,003500,1,815,25,3.07,001,110010035001
178,15000US110010035002,DC,11,003500,2,1560,200,12.82,001,110010035002
179,15000US110010035003,DC,11,003500,3,397,23,5.79,001,110010035003
180,15000US110010036001,DC,11,003600,1,1366,24,1.76,001,110010036001
181,15000US110010036002,DC,11,003600,2,1269,24,1.89,001,110010036002
182,15000US110010036003,DC,11,003600,3,1062,96,9.04,001,110010036003
183,15000US110010037011,DC,11,003701,1,856,31,3.62,001,110010037011
184,15000US110010037012,DC,11,003701,2,973,4,0.41,001,110010037012
185,15000US110010037021,DC,11,003702,1,297,0,0.0,001,110010037021
186,15000US110010037022,DC,11,003702,2,1114,245,21.99,001,110010037022
187,15000US110010038011,DC,11,003801,1,723,33,4.56,001,110010038011
188,15000US110010038012,DC,11,003801,2,605,0,0.0,001,110010038012
189,15000US110010038021,DC,11,003802,1,651,11,1.69,001,110010038021
190,15000US110010038022,DC,11,003802,2,869,1,0.12,001,110010038022
191,15000US110010038023,DC,11,003802,3,1099,0,0.0,001,110010038023
192,15000US110010039011,DC,11,003901,1,1118,2,0.18,001,110010039011
193,15000US110010039012,DC,11,003901,2,1056,0,0.0,001,110010039012
194,15000US110010039021,DC,11,003902,1,830,8,0.96,001,110010039021
195,15000US110010039022,DC,11,003902,2,918,0,0.0,001,110010039022
196,15000US110010040011,DC,11,004001,1,1819,56,3.08,001,110010040011
197,15000US110010040012,DC,11,004001,2,643,0,0.0,001,110010040012
198,15000US110010040013,DC,11,004001,3,1106,45,4.07,001,110010040013
199,15000US110010040014,DC,11,004001,4,471,0,0.0,001,110010040014
200,15000US110010040021,DC,11,004002,1,803,22,2.74,001,110010040021
201,15000US110010040022,DC,11,004002,2,1502,24,1.6,001,110010040022
202,15000US110010040023,DC,11,004002,3,510,41,8.04,001,110010040023
203,15000US110010041001,DC,11,004100,1,804,10,1.24,001,110010041001
204,15000US110010041002,DC,11,004100,2,301,0,0.0,001,110010041002
205,15000US110010041003,DC,11,004100,3,475,28,5.89,001,110010041003
206,15000US110010042011,DC,11,004201,1,981,0,0.0,001,110010042011
207,15000US110010042012,DC,11,004201,2,1096,0,0.0,001,110010042012
208,15000US110010042013,DC,11,004201,3,1120,9,0.8,001,110010042013
209,15000US110010042021,DC,11,004202,1,1099,44,4.0,001,110010042021
210,15000US110010042022,DC,11,004202,2,855,13,1.52,001,110010042022
211,15000US110010043001,DC,11,004300,1,631,0,0.0,001,110010043001
212,15000US110010043002,DC,11,004300,2,662,0,0.0,001,110010043002
213,15000US110010043003,DC,11,004300,3,922,0,0.0,001,110010043003
214,15000US110010043004,DC,11,004300,4,812,0,0.0,001,110010043004
215,15000US110010044011,DC,11,004401,1,1025,17,1.66,001,110010044011
216,15000US110010044012,DC,11,004401,2,1168,16,1.37,001,110010044012
217,15000US110010044013,DC,11,004401,3,466,0,0.0,001,110010044013
218,15000US110010044021,DC,11,004402,1,845,285,33.73,001,110010044021
219,15000US110010044022,DC,11,004402,2,752,51,6.78,001,110010044022
220,15000US110010046001,DC,11,004600,1,907,0,0.0,001,110010046001
221,15000US110010046002,DC,11,004600,2,1342,99,7.38,001,110010046002
222,15000US110010047021,DC,11,004702,1,361,41,11.36,001,110010047021
223,15000US110010047022,DC,11,004702,2,499,12,2.4,001,110010047022
224,15000US110010047023,DC,11,004702,3,310,8,2.58,001,110010047023
225,15000US110010047024,DC,11,004702,4,768,28,3.65,001,110010047024
226,15000US110010047025,DC,11,004702,5,936,19,2.03,001,110010047025
227,15000US110010047031,DC,11,004703,1,559,0,0.0,001,110010047031
228,15000US110010047032,DC,11,004703,2,366,0,0.0,001,110010047032
229,15000US110010047033,DC,11,004703,3,1032,28,2.71,001,110010047033
230,15000US110010047034,DC,11,004703,4,71,9,12.68,001,110010047034
231,15000US110010047041,DC,11,004704,1,223,212,95.07,001,110010047041
232,15000US110010047042,DC,11,004704,2,158,12,7.59,001,110010047042
233,15000US110010048011,DC,11,004801,1,259,7,2.7,001,110010048011
234,15000US110010048012,DC,11,004801,2,692,77,11.13,001,110010048012
235,15000US110010048013,DC,11,004801,3,1140,44,3.86,001,110010048013
236,15000US110010048021,DC,11,004802,1,1245,8,0.64,001,110010048021
237,15000US110010048022,DC,11,004802,2,1171,0,0.0,001,110010048022
238,15000US110010049011,DC,11,004901,1,620,27,4.35,001,110010049011
239,15000US110010049012,DC,11,004901,2,1627,0,0.0,001,110010049012
240,15000US110010049013,DC,11,004901,3,350,17,4.86,001,110010049013
241,15000US110010049021,DC,11,004902,1,261,11,4.21,001,110010049021
242,15000US110010049022,DC,11,004902,2,776,137,17.65,001,110010049022
243,15000US110010049023,DC,11,004902,3,1619,0,0.0,001,110010049023
244,15000US110010050011,DC,11,005001,1,815,0,0.0,001,110010050011
245,15000US110010050012,DC,11,005001,2,829,23,2.77,001,110010050012
246,15000US110010050031,DC,11,005003,1,674,6,0.89,001,110010050031
247,15000US110010050032,DC,11,005003,2,836,0,0.0,001,110010050032
248,15000US110010050041,DC,11,005004,1,1157,40,3.46,001,110010050041
249,15000US110010050042,DC,11,005004,2,646,82,12.69,001,110010050042
250,15000US110010050043,DC,11,005004,3,685,44,6.42,001,110010050043
251,15000US110010052021,DC,11,005202,1,834,0,0.0,001,110010052021
252,15000US110010052022,DC,11,005202,2,1160,28,2.41,001,110010052022
253,15000US110010052023,DC,11,005202,3,481,0,0.0,001,110010052023
254,15000US110010052031,DC,11,005203,1,1249,0,0.0,001,110010052031
255,15000US110010052032,DC,11,005203,2,659,9,1.37,001,110010052032
256,15000US110010052033,DC,11,005203,3,625,0,0.0,001,110010052033
257,15000US110010053021,DC,11,005302,1,1068,40,3.75,001,110010053021
258,15000US110010053022,DC,11,005302,2,454,10,2.2,001,110010053022
259,15000US110010053023,DC,11,005302,3,251,0,0.0,001,110010053023
260,15000US110010053031,DC,11,005303,1,429,17,3.96,001,110010053031
261,15000US110010053032,DC,11,005303,2,810,20,2.47,001,110010053032
262,15000US110010053033,DC,11,005303,3,816,20,2.45,001,110010053033
263,15000US110010055011,DC,11,005501,1,746,24,3.22,001,110010055011
264,15000US110010055012,DC,11,005501,2,524,0,0.0,001,110010055012
265,15000US110010055021,DC,11,005502,1,809,51,6.3,001,110010055021
266,15000US110010055022,DC,11,005502,2,559,55,9.84,001,110010055022
267,15000US110010055023,DC,11,005502,3,457,0,0.0,001,110010055023
268,15000US110010055031,DC,11,005503,1,779,0,0.0,001,110010055031
269,15000US110010055032,DC,11,005503,2,789,2,0.25,001,110010055032
270,15000US110010056011,DC,11,005601,1,611,66,10.8,001,110010056011
271,15000US110010056012,DC,11,005601,2,278,10,3.6,001,110010056012
272,15000US110010056013,DC,11,005601,3,662,5,0.76,001,110010056013
273,15000US110010056021,DC,11,005602,1,541,38,7.02,001,110010056021
274,15000US110010056022,DC,11,005602,2,1266,52,4.11,001,110010056022
275,15000US110010056023,DC,11,005602,3,429,0,0.0,001,110010056023
276,15000US110010058011,DC,11,005801,1,656,73,11.13,001,110010058011
277,15000US110010058012,DC,11,005801,2,656,88,13.41,001,110010058012
278,15000US110010058021,DC,11,005802,1,0,0,,001,110010058021
279,15000US110010058022,DC,11,005802,2,0,0,,001,110010058022
280,15000US110010058023,DC,11,005802,3,0,0,,001,110010058023
281,15000US110010058024,DC,11,005802,4,492,15,3.05,001,110010058024
282,15000US110010058025,DC,11,005802,5,1123,51,4.54,001,110010058025
283,15000US110010059001,DC,11,005900,1,906,43,4.75,001,110010059001
284,15000US110010059002,DC,11,005900,2,861,91,10.57,001,110010059002
285,15000US110010064001,DC,11,006400,1,738,82,11.11,001,110010064001
286,15000US110010064002,DC,11,006400,2,408,37,9.07,001,110010064002
287,15000US110010065001,DC,11,006500,1,706,6,0.85,001,110010065001
288,15000US110010065002,DC,11,006500,2,1104,104,9.42,001,110010065002
289,15000US110010066001,DC,11,006600,1,757,0,0.0,001,110010066001
290,15000US110010066002,DC,11,006600,2,586,15,2.56,001,110010066002
291,15000US110010067001,DC,11,006700,1,849,48,5.65,001,110010067001
